#1:n	2:kx	3:s(n,kx)
27	21	2.74876e-15
27	22	5.81081e-15
27	23	1.26596e-14
27	24	1.53158e-14
27	25	1.42883e-14
27	26	8.8135e-15
27	27	1.90639e-14
27	28	1.09082e-14
27	29	7.99698e-15
27	30	8.57153e-15
27	31	1.1655e-14
27	32	8.98734e-15
27	33	1.09812e-14
27	34	1.21845e-14
27	35	1.35571e-14
27	36	1.14532e-14
27	37	8.8989e-15
27	38	9.18771e-15
27	39	7.07419e-15

28	0	1.67951e-15
28	1	2.80443e-14
28	2	3.11403e-14
28	3	4.34558e-14
28	4	8.65056e-14
28	5	1.79878e-13
28	6	3.18413e-13
28	7	4.56762e-13
28	8	5.51173e-13
28	9	5.97143e-13
28	10	6.16552e-13
28	11	6.1144e-13
28	12	3.86385e-13
28	13	2.36117e-13
28	14	1.59324e-13
28	15	1.09063e-13
28	16	5.69572e-14
28	17	2.04039e-14
28	18	1.30892e-14
28	19	7.25938e-15
28	20	1.27291e-15
28	21	1.29488e-14
28	22	1.87522e-14
28	23	2.01754e-14
28	24	5.69544e-14
28	25	1.09062e-13
28	26	1.59355e-13
28	27	2.36132e-13
28	28	3.86427e-13
28	29	6.11409e-13
28	30	6.16556e-13
28	31	5.97138e-13
28	32	5.512e-13
28	33	4.56754e-13
28	34	3.18413e-13
