#1:kx	2:n	3:s(n)
9	19	1.44758e-17
9	20	1.45337e-17
9	21	1.46062e-17
9	22	1.44693e-17
9	23	1.4487e-17
9	24	1.4666e-17
9	25	1.46007e-17
9	26	1.46186e-17
9	27	1.45922e-17
9	28	1.4694e-17
9	29	1.47669e-17
9	30	1.47662e-17
9	31	1.46907e-17
9	32	1.47282e-17
9	33	1.45749e-17
9	34	1.44573e-17
9	35	1.46443e-17
9	36	1.45604e-17
9	37	1.46977e-17
9	38	1.47397e-17
9	39	1.45989e-17
9	40	1.46633e-17
9	41	1.45812e-17
9	42	1.46697e-17
9	43	1.46503e-17
9	44	1.48204e-17
9	45	1.47896e-17
9	46	1.4717e-17
9	47	1.4741e-17
9	48	1.47337e-17
9	49	1.47528e-17
9	50	1.45488e-17
9	51	1.46218e-17
9	52	1.47248e-17
9	53	1.47571e-17
9	54	1.45983e-17
9	55	1.45599e-17
9	56	1.46084e-17
9	57	1.45118e-17
9	58	1.4442e-17
9	59	1.44676e-17
9	60	1.44789e-17
9	61	1.45104e-17
9	62	1.45608e-17
9	63	1.47099e-17
9	64	1.45853e-17
9	65	1.46141e-17
9	66	1.47459e-17
9	67	1.47864e-17
9	68	1.4706e-17
9	69	1.46306e-17
9	70	1.46951e-17
9	71	1.46748e-17
9	72	1.46261e-17
9	73	1.46302e-17
9	74	1.46969e-17
9	75	1.46856e-17
9	76	1.48164e-17
9	77	1.47808e-17
9	78	1.48356e-17
9	79	1.47777e-17
9	80	1.4897e-17
9	81	1.46764e-17
9	82	1.47316e-17
9	83	1.47825e-17
9	84	1.47763e-17
9	85	1.50371e-17
9	86	1.48291e-17
9	87	1.48261e-17
9	88	1.48456e-17
9	89	1.50615e-17
9	90	1.48787e-17
9	91	1.49771e-17
9	92	1.49501e-17
9	93	1.49253e-17
9	94	1.50054e-17
9	95	1.49994e-17
9	96	1.50891e-17
9	97	1.49889e-17
9	98	1.50386e-17
9	99	1.50288e-17

10	0	1.3011e-17
10	1	1.39069e-17
10	2	1.38167e-17
10	3	1.40183e-17
10	4	1.40652e-17
10	5	1.39288e-17
10	6	1.39997e-17
10	7	1.4068e-17
10	8	1.41223e-17
10	9	1.41862e-17
10	10	1.42e-17
10	11	1.4164e-17
10	12	1.43162e-17
10	13	1.43399e-17
10	14	1.42319e-17
10	15	1.42453e-17
10	16	1.4372e-17
10	17	1.44055e-17
10	18	1.43754e-17
10	19	1.44769e-17
10	20	1.45486e-17
10	21	1.46084e-17
10	22	1.45577e-17
10	23	1.44894e-17
10	24	1.46771e-17
10	25	1.46311e-17
10	26	1.46508e-17
10	27	1.46137e-17
10	28	1.47007e-17
10	29	1.48337e-17
10	30	1.47763e-17
10	31	1.47811e-17
10	32	1.47285e-17
10	33	1.46534e-17
10	34	1.46105e-17
10	35	1.46484e-17
10	36	1.46055e-17
10	37	1.47282e-17
10	38	1.47571e-17
10	39	1.46782e-17
10	40	1.47083e-17
10	41	1.46279e-17
10	42	1.46805e-17
10	43	1.46897e-17
10	44	1.48208e-17
10	45	1.48032e-17
10	46	1.47646e-17
10	47	1.47696e-17
10	48	1.47605e-17
10	49	1.47574e-17
10	50	1.45635e-17
10	51	1.46404e-17
10	52	1.47296e-17
10	53	1.47957e-17
10	54	1.46138e-17
10	55	1.45955e-17
10	56	1.46236e-17
10	57	1.4544e-17
10	58	1.45016e-17
10	59	1.4503e-17
10	60	1.45281e-17
10	61	1.45395e-17
10	62	1.45729e-17
10	63	1.47249e-17
10	64	1.45901e-17
10	65	1.46445e-17
10	66	1.47757e-17
10	67	1.47886e-17
10	68	1.473e-17
10	69	1.46441e-17
10	70	1.47236e-17
10	71	1.47011e-17
10	72	1.46596e-17
10	73	1.47319e-17
10	74	1.4744e-17
10	75	1.47068e-17
10	76	1.4838e-17
10	77	1.47986e-17
10	78	1.48531e-17
10	79	1.47826e-17
10	80	1.49048e-17
10	81	1.47489e-17
10	82	1.48154e-17
10	83	1.47978e-17
10	84	1.47935e-17
10	85	1.50728e-17
10	86	1.48418e-17
10	87	1.4854e-17
10	88	1.48899e-17
10	89	1.50643e-17
10	90	1.48843e-17
10	91	1.49979e-17
10	92	1.50068e-17
10	93	1.49829e-17
10	94	1.50177e-17
10	95	1.50368e-17
10	96	1.50925e-17
10	97	1.49929e-17
10	98	1.50581e-17
10	99	1.50418e-17

11	0	1.3015e-17
11	1	1.39153e-17
11	2	1.38609e-17
11	3	1.40318e-17
11	4	1.4109e-17
11	5	1.39336e-17
11	6	1.40353e-17
11	7	1.41052e-17
11	8	1.41311e-17
11	9	1.41903e-17
11	10	1.42021e-17
11	11	1.41743e-17
11	12	1.43337e-17
11	13	1.43506e-17
11	14	1.42669e-17
11	15	1.43031e-17
11	16	1.43935e-17
11	17	1.44063e-17
11	18	1.43945e-17
11	19	1.44968e-17
11	20	1.45578e-17
11	21	1.46187e-17
11	22	1.45772e-17
11	23	1.44947e-17
11	24	1.46978e-17
11	25	1.46468e-17
11	26	1.46693e-17
11	27	1.46372e-17
11	28	1.47382e-17
11	29	1.48583e-17
11	30	1.47829e-17
11	31	1.48053e-17
11	32	1.47314e-17
11	33	1.46646e-17
11	34	1.46547e-17
11	35	1.47246e-17
11	36	1.4621e-17
11	37	1.47504e-17
11	38	1.47706e-17
11	39	1.47342e-17
11	40	1.47262e-17
11	41	1.46387e-17
11	42	1.47092e-17
11	43	1.47173e-17
11	44	1.48315e-17
11	45	1.48184e-17
11	46	1.47913e-17
11	47	1.47943e-17
11	48	1.47617e-17
11	49	1.4767e-17
11	50	1.45687e-17
11	51	1.47028e-17
11	52	1.47366e-17
11	53	1.48053e-17
11	54	1.46142e-17
11	55	1.45973e-17
11	56	1.4634e-17
11	57	1.45445e-17
